Visa Type,Category,Purpose / Use Case,Visa Fee (USD)
Short-stay Schengen Visa,Tourism/Business,"Tourism, business, family visits ≤90 days",EUR 80
Airport Transit Visa (Type A),Transit,Transit through French international airports,EUR 80
Short-stay Overseas Visa,Tourism/Business,"Travel to French overseas territories (e.g. Réunion, Martinique)",EUR 80
Long-stay Visa (Type D),,"Stay >90 days (work, study, family reunification)",EUR 99
Student Visa (Long-stay),Study,University or higher education >90 days,EUR 99
Temporary Long-stay Visa (VLS-T),Tourism/Business,4–6 month temporary stays (e.g. second home visits),EUR 99
Working Holiday Visa,Work,Work + travel for young adults (reciprocal agreements),EUR 99
Talent Passport,Work,"For highly skilled professionals, researchers, artists",EUR 99
Entrepreneur Visa,Work,Starting a business or self-employment in France,EUR 99
Scientific/Research Visa,Work,Participation in academic or scientific programs,EUR 99
Volunteer/Exchange Program Visa,Exchange,"Cultural, humanitarian, youth programs",EUR 99
Family/Spouse of EU National,,Joining a French or EU citizen,Free or EUR 99 depending on status
