Visa Type,Category,Purpose / Use Case,Visa Fee (USD)
Short-stay Schengen Visa,Tourism/Business,"Tourism, family or business visits (≤90 days)",EUR 80
Airport Transit Visa,Transit,Airport layovers or connecting flights,EUR 80
National Visa (Type D),,"Long-stay purposes (work, study, reunification)",EUR 116
Student Visa,Study,"University, language programs >90 days",EUR 50
Work Visa,Work,Sponsored employment under Decreto Flussi quota,EUR 116
Self-employment Visa,Work,"Freelancers, entrepreneurs, consultants",EUR 116
Seasonal Work Visa,Work,Agricultural and tourism sector jobs,EUR 116
Religious Visa,,Religious service or training,EUR 80
Volunteer Visa,Exchange,Community service with Italian NGO,EUR 80
Family Reunification Visa,,Joining relatives legally residing in Italy,EUR 116
