Visa Type,Category,Purpose / Use Case,Visa Fee (USD)
Short-stay Schengen Visa,Tourism/Business,"Tourism, family or business (≤90 days)",EUR 80
Airport Transit Visa,Transit,Airside transit through Spanish airports,EUR 80
Long-stay National Visa,,"Stays >90 days for study, work, or family",EUR 60–80
Student Visa,Study,"University, language or vocational study programs",EUR 60
Work Visa,Work,Skilled and unskilled employment contracts,EUR 60
Entrepreneur Visa,Work,Startups and innovation-based businesses,EUR 60
Digital Nomad Visa,Work,Remote workers employed by non-Spanish companies,EUR 60
Non-lucrative Visa,,Living in Spain without working,EUR 80
Family Reunification Visa,,"Spouses, children, dependent relatives",EUR 80
Volunteer Visa,Exchange,NGO-supported youth and social work,EUR 80
