Visa Type,Category,Purpose / Use Case,Visa Fee (USD)
Short-stay Schengen Visa,Tourism/Business,"Tourism, business meetings, family visits (≤90 days)",CHF 80
Airport Transit Visa,Transit,Transit through Swiss airports,CHF 80
National Visa (Type D),,"Long-term stay >90 days (study, work, reunification)",CHF 99
Student Visa,Study,University or academic programs >90 days,CHF 99
Work Visa (Permit B or L),Work,"Skilled employment, dependent on canton approval",CHF 88–99
Research Visa,Work,Scientific collaboration or fellowship participation,CHF 99
Family Reunification Visa,,Spouse/child of Swiss/EU resident,CHF 99
Au Pair Visa,Exchange,Language and cultural exchange with host family,CHF 99
Internship Visa,Vocational,Professional training or internships,CHF 99
Cultural/Sports Visa,Exchange,Participation in international cultural or sports events,CHF 99
