Visa Type,Category,Purpose / Use Case,Visa Fee (USD)
Tourist/Business e-Visa,Tourism/Business,Short stays for tourism or business,USD 50–100
Airport Transit Visa,Transit,Transit through Turkish airports,USD 50
Student Visa,Study,Degree and non-degree studies,USD 80
Work Visa,Work,Employment in Turkish firms,USD 140
Internship Visa,Vocational,Corporate or academic internships,USD 80
Research Visa,Vocational,Field research or academic collaboration,USD 80
Family Reunification Visa,,Spouse/children of legal residents,USD 80
Tour Operator Representative Visa,,Staff of tour operators,USD 80
Medical Treatment Visa,,Approved treatment in Turkish institutions,USD 80
Cultural/Sports Visa,Exchange,Short-term participation in cultural/sports activities,USD 80
